rosbagTimestamp,iTOW,version,numSvs,reserved0,sv,-,gnssId,svId,cno,elev,azim,prRes,flags
1605259780326948208,466198300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259782327222470,466200300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259784327239915,466202300,1,1,"[0, 0]",,0,31,27,-91,0,0,6423
1605259786326859552,466204300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259788328141196,466206300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259790326624316,466208300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259792327408134,466210300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259794327158331,466212300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259796327470081,466214300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259798327308436,466216300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259800326684404,466218300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259802327217862,466220300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259804327454949,466222300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259806326500909,466224300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259808326060133,466226300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259810326470796,466228300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259812327516644,466230300,1,1,"[0, 0]",,0,31,27,-91,0,0,6422
1605259814326592639,466232300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259816326720138,466234300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259818327913351,466236300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259820327479175,466238300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259822328161496,466240300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259824326706410,466242300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259826327573681,466244300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259828326440122,466246300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259830327056916,466248300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259832327982778,466250300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
