rosbagTimestamp,iTOW,version,numSvs,reserved0,sv,-,gnssId,svId,cno,elev,azim,prRes,flags,-,gnssId,svId,cno,elev,azim,prRes,flags,-,gnssId,svId,cno,elev,azim,prRes,flags
1605264139029477641,470557000,1,14,"[0, 0]",,0,2,0,-91,0,0,1,0,3,23,-91,0,0,3,0,6,26,58,259,120,2335,0,9,24,67,220,2,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,347,100,2335,6,14,28,36,74,97,2335,6,20,20,34,220,0,4628,6,21,34,45,301,98,6431,6,22,0,13,345,0,4625
1605264141029689843,470559000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,25,58,259,80,2335,0,9,24,67,220,-13,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,348,83,2335,6,14,28,36,74,75,2335,6,20,20,34,220,0,4628,6,21,33,45,301,83,6431,6,22,0,13,345,0,4625
1605264143029638911,470561000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,61,2335,0,9,24,67,220,-14,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,348,70,2335,6,14,27,36,74,62,2335,6,20,19,34,220,0,4628,6,21,33,45,301,73,6431,6,22,0,13,345,0,4625
1605264145028461446,470563000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,25,58,259,48,2335,0,9,24,67,220,-34,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,33,79,348,64,2335,6,14,27,36,74,56,2335,6,20,21,34,220,0,4628,6,21,33,45,301,67,6431,6,22,0,13,345,0,4625
1605264147029389666,470565000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,25,58,259,37,2332,0,9,25,67,220,-22,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,33,79,348,54,2335,6,14,28,36,74,55,2335,6,20,20,34,220,0,4628,6,21,34,45,301,59,6431,6,22,0,13,345,0,4625
1605264149028117201,470567000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,19,2332,0,9,24,67,220,-35,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,348,43,2335,6,14,27,36,74,54,2335,6,20,20,34,220,0,4628,6,21,33,45,301,53,6431,6,22,0,13,345,0,4625
1605264151028598098,470569000,1,13,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,26,2332,0,9,24,67,220,-10,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,33,79,348,38,2335,6,14,27,36,74,38,2335,6,20,20,34,220,0,4628,6,21,33,45,301,46,6431,6,22,0,13,345,0,4625
1605264153028608051,470571000,1,13,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,24,2332,0,9,23,67,220,-11,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,348,39,2335,6,14,28,36,74,46,2335,6,20,20,34,220,0,4628,6,21,34,45,301,44,6431,6,22,0,13,345,0,4625
1605264155030212836,470573000,1,13,"[0, 0]",,0,3,23,-91,0,0,3,0,6,26,58,259,54,2332,0,9,23,67,220,-3,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,348,36,2335,6,14,27,36,74,45,2335,6,20,19,34,220,0,4628,6,21,33,45,301,41,6431,6,22,0,13,345,0,4625
1605264157031193460,470575000,1,13,"[0, 0]",,0,3,24,-91,0,0,3,0,6,26,58,259,45,2332,0,9,23,67,220,-8,6428,0,31,0,5,28,0,4625,1,120,0,22,210,0,1793,1,123,0,23,155,0,1793,1,136,0,26,186,0,1793,2,6,0,-91,0,0,1,6,5,34,79,348,29,2335,6,14,28,36,74,49,2335,6,20,19,34,220,0,4628,6,21,33,45,301,38,6431,6,22,0,13,345,0,4625
