rosbagTimestamp,iTOW,version,numSvs,reserved0,sv
1605257670861324242,186000,1,0,"[0, 0]",[]
1605257672861639946,188000,1,0,"[0, 0]",[]
1605257674861450341,190000,1,0,"[0, 0]",[]
1605257676861731361,192000,1,0,"[0, 0]",[]
1605257678861123066,194000,1,0,"[0, 0]",[]
1605257680861256402,196000,1,0,"[0, 0]",[]
1605257682862398597,198000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257684861518127,200000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257686860990671,202000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257688862492681,204000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257690861863729,206000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257692862221005,208000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257694861403605,210000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257696861849486,212000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257698860594318,214000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257700860574170,216000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257702860732975,218000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257704861911022,220000,1,1,"[0, 0]",,0,16,0,-91,0,0,1
1605257706860957514,222000,1,0,"[0, 0]",[]
1605257708862173328,224000,1,0,"[0, 0]",[]
1605257710860956590,226000,1,0,"[0, 0]",[]
1605257712860651246,228000,1,0,"[0, 0]",[]
1605257714861317231,230000,1,0,"[0, 0]",[]
1605257716861679467,232000,1,0,"[0, 0]",[]
1605257718860347322,234000,1,0,"[0, 0]",[]
1605257720860408486,236000,1,0,"[0, 0]",[]
1605257722860994891,238000,1,0,"[0, 0]",[]
1605257724860495489,240000,1,0,"[0, 0]",[]
1605257726860307178,242000,1,0,"[0, 0]",[]
1605257728860739656,244000,1,0,"[0, 0]",[]
1605257730860480275,246000,1,0,"[0, 0]",[]
1605257732860316844,248000,1,0,"[0, 0]",[]
1605257734861583385,250000,1,0,"[0, 0]",[]
1605257736861775851,252000,1,0,"[0, 0]",[]
1605257738860619361,254000,1,0,"[0, 0]",[]
1605257740860323746,256000,1,0,"[0, 0]",[]
1605257742860561133,258000,1,0,"[0, 0]",[]
1605257744859967736,260000,1,0,"[0, 0]",[]
1605257746860349483,262000,1,0,"[0, 0]",[]
1605257748860492959,264000,1,0,"[0, 0]",[]
1605257750861449175,266000,1,0,"[0, 0]",[]
1605257752860164834,268000,1,0,"[0, 0]",[]
1605257754861652089,270000,1,0,"[0, 0]",[]
1605257756860445021,272000,1,0,"[0, 0]",[]
1605257758862131596,274000,1,0,"[0, 0]",[]
1605257760861460326,276000,1,0,"[0, 0]",[]
1605257762860746519,278000,1,0,"[0, 0]",[]
1605257764860860899,280000,1,0,"[0, 0]",[]
